date,impressions,clicks,conversions,spend,revenue,campaign_name,device_type,city,traffic_source,day_of_week,weather,temperature,ctr,conversion_rate,roas,cpc
2025-11-03 12:30:05.543614,20795,604,67,1202.65,1525.96,New Product Launch,Mobile,New York,Direct,Monday,Cloudy,80,2.9,11.09,1.27,1.99
2025-11-04 12:30:05.543614,5860,230,22,296.26,2388.88,New Product Launch,Mobile,Los Angeles,Social Media,Tuesday,Sunny,84,3.92,9.57,8.06,1.29
2025-11-05 12:30:05.543614,10390,584,48,666.01,1072.0,Summer Sale,Mobile,Philadelphia,Organic,Wednesday,Clear,82,5.62,8.22,1.61,1.14
2025-11-06 12:30:05.543614,16964,746,30,350.63,692.45,New Product Launch,Tablet,Los Angeles,Social Media,Thursday,Rainy,70,4.4,5.09,1.97,0.47
2025-11-07 12:30:05.543614,16284,120,78,1322.03,1224.38,Summer Sale,Mobile,Chicago,Organic,Friday,Clear,81,0.74,65.0,0.93,11.02
2025-11-08 12:30:05.543614,14644,319,66,1010.29,903.05,Back to School,Desktop,Houston,Email,Saturday,Sunny,72,2.36,24.81,0.89,3.8
2025-11-09 12:30:05.543614,28405,447,18,630.17,2824.24,Summer Sale,Desktop,Los Angeles,Paid Search,Sunday,Sunny,82,1.71,4.83,4.48,1.69
2025-11-10 12:30:05.543614,9426,487,52,282.63,2520.3,Back to School,Mobile,New York,Paid Search,Monday,Clear,52,5.17,10.68,8.92,0.58
2025-11-11 12:30:05.543614,19423,700,19,604.28,2083.51,New Product Launch,Desktop,Houston,Paid Search,Tuesday,Sunny,67,3.6,2.71,3.45,0.86
2025-11-12 12:30:05.543614,16363,415,76,622.74,2678.65,New Product Launch,Mobile,Houston,Social Media,Wednesday,Clear,74,2.54,18.31,4.3,1.5
2025-11-13 12:30:05.543614,21023,113,52,1148.49,2509.18,Back to School,Desktop,New York,Email,Thursday,Rainy,80,0.54,58.41,2.18,10.16
2025-11-14 12:30:05.543614,13322,341,44,1028.82,966.43,Holiday Special,Desktop,Los Angeles,Organic,Friday,Clear,52,2.56,12.9,0.94,3.02
2025-11-15 12:30:05.543614,8690,534,45,1353.38,2731.4,Back to School,Mobile,New York,Direct,Saturday,Rainy,73,6.66,12.81,2.02,3.04
2025-11-16 12:30:05.543614,7499,796,28,813.88,1848.36,Holiday Special,Mobile,Philadelphia,Organic,Sunday,Clear,81,11.51,4.22,2.27,1.23
2025-11-17 12:30:05.543614,7433,439,30,355.47,2518.6,Summer Sale,Desktop,Houston,Direct,Monday,Sunny,71,5.91,6.83,7.09,0.81
2025-11-18 12:30:05.543614,10311,191,64,1127.22,2740.23,Summer Sale,Mobile,Phoenix,Organic,Tuesday,Clear,72,1.85,33.51,2.43,5.9
2025-11-19 12:30:05.543614,10051,466,45,1189.02,1295.01,Summer Sale,Mobile,Phoenix,Email,Wednesday,Sunny,51,4.64,9.66,1.09,2.55
2025-11-20 12:30:05.543614,11420,554,33,929.66,775.13,New Product Launch,Mobile,Chicago,Direct,Thursday,Clear,76,4.85,5.96,0.83,1.68
2025-11-21 12:30:05.543614,22568,527,19,1202.26,1069.84,Summer Sale,Mobile,New York,Social Media,Friday,Clear,51,2.34,3.61,0.89,2.28
2025-11-22 12:30:05.543614,32199,729,49,841.93,1567.77,Holiday Special,Desktop,New York,Organic,Saturday,Cloudy,75,2.45,8.06,1.86,1.38
2025-11-23 12:30:05.543614,14814,160,69,879.55,2545.04,Summer Sale,Mobile,Chicago,Organic,Sunday,Sunny,66,1.18,51.49,2.89,6.56
2025-11-24 12:30:05.543614,13666,305,75,755.8,2651.83,Back to School,Mobile,Chicago,Direct,Monday,Cloudy,82,2.23,24.59,3.51,2.48
2025-11-25 12:30:05.543614,23942,180,13,233.04,517.38,Back to School,Mobile,Chicago,Social Media,Tuesday,Sunny,58,0.75,7.22,2.22,1.29
2025-11-26 12:30:05.543614,23431,661,5,340.26,1776.87,New Product Launch,Desktop,Houston,Social Media,Wednesday,Cloudy,78,2.82,0.76,5.22,0.51
2025-11-27 12:30:05.543614,7747,487,9,240.86,1543.53,Back to School,Mobile,Philadelphia,Email,Thursday,Rainy,75,6.29,2.46,6.41,0.49
2025-11-28 12:30:05.543614,5189,101,67,1027.33,1055.27,Holiday Special,Desktop,New York,Social Media,Friday,Clear,84,1.95,66.34,1.03,10.17
2025-11-29 12:30:05.543614,31353,586,15,608.66,799.66,Summer Sale,Mobile,Houston,Social Media,Saturday,Sunny,74,2.03,3.07,1.31,1.24
2025-11-30 12:30:05.543614,10406,798,12,861.14,1344.04,New Product Launch,Tablet,Chicago,Social Media,Sunday,Sunny,73,8.31,1.8,1.56,1.29
2025-12-01 12:30:05.543614,6899,205,39,1379.84,2857.27,Summer Sale,Mobile,New York,Paid Search,Monday,Clear,62,2.97,19.02,2.07,6.73
2025-12-02 12:30:05.543614,6267,576,39,524.08,1308.01,Summer Sale,Mobile,Houston,Email,Tuesday,Sunny,56,9.19,6.77,2.5,0.91
